mois,ca_total,nb_commandes
2016-09-01,0.0,1
2016-10-01,46566.71,265
2016-12-01,19.62,1
2017-01-01,127545.67,750
2017-02-01,271298.65,1653
2017-03-01,414369.39,2546
2017-04-01,390952.18,2303
2017-05-01,567066.73,3546
2017-06-01,490225.6,3135
2017-07-01,566403.93,3872
2017-08-01,646000.61,4193
2017-09-01,701169.99,4150
2017-10-01,751140.27,4478
2017-11-01,1153528.05,7289
2017-12-01,843199.17,5513
2018-01-01,1078606.86,7069
2018-02-01,966510.88,6555
2018-03-01,1120678.0,7003
2018-04-01,1132933.95,6798
2018-05-01,1128836.69,6749
2018-06-01,1012090.68,6099
2018-07-01,1027903.86,6159
2018-08-01,985414.28,6351
